Semana,MUNICIPIO,GFS,MERGE,REGIAO
2025-03-02,GAROPABA,"1,42","0,00",GRANDE FLORIANOPOLIS
2025-02-23,GOVERNADOR CELSO RAMOS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,GOVERNADOR CELSO RAMOS,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,LEOBERTO LEAL,"1,98","16,8",GRANDE FLORIANOPOLIS
2025-03-02,LEOBERTO LEAL,"1,34","0,14",GRANDE FLORIANOPOLIS
2025-02-23,MAJOR GERCINO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,MAJOR GERCINO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,NOVA TRENTO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,NOVA TRENTO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,PALHOÇA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,PALHOÇA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,PAULO LOPES,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,PAULO LOPES,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,RANCHO QUEIMADO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,RANCHO QUEIMADO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SANTO AMARO DA IMPERATRIZ,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SANTO AMARO DA IMPERATRIZ,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO BONIFACIO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO BONIFACIO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO JOAO BATISTA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO JOAO BATISTA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO JOSE,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO JOSE,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO PEDRO DE ALCANTARA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO PEDRO DE ALCANTARA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,TIJUCAS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,TIJUCAS,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,ARMAZEM,"0,69","0,04",LAGUNA
2025-03-02,ARMAZEM,"1,42","0,00",LAGUNA
2025-02-23,BRAÇO DO NORTE,"0,69",,LAGUNA
2025-03-02,BRAÇO DO NORTE,"1,42","0,36",LAGUNA
2025-02-23,CAPIVARI DE BAIXO,"0,69","0,04",LAGUNA
2025-03-02,CAPIVARI DE BAIXO,"1,42","0,00",LAGUNA
2025-02-23,GRAO PARA,"0,69","10,44",LAGUNA
2025-03-02,GRAO PARA,"1,42","0,36",LAGUNA
2025-02-23,GRAVATAL,"0,69","0,04",LAGUNA
2025-03-02,GRAVATAL,"1,42","0,00",LAGUNA
2025-02-23,IMARUI,"0,69","0,04",LAGUNA
2025-03-02,IMARUI,"1,42","0,00",LAGUNA
2025-02-23,IMBITUBA,"0,69","0,04",LAGUNA
2025-03-02,IMBITUBA,"1,42","0,00",LAGUNA
2025-02-23,JAGUARUNA,"0,69","0,04",LAGUNA
2025-03-02,JAGUARUNA,"1,42","0,00",LAGUNA
2025-02-23,LAGUNA,"0,69","0,04",LAGUNA
2025-03-02,LAGUNA,"1,42","0,00",LAGUNA
2025-02-23,PEDRAS GRANDES,"0,69","10,44",LAGUNA
2025-03-02,PEDRAS GRANDES,"1,42","0,36",LAGUNA
2025-02-23,PESCARIA BRAVA,"0,69","0,04",LAGUNA
2025-03-02,PESCARIA BRAVA,"1,42","0,00",LAGUNA
2025-02-23,RIO FORTUNA,"0,69","10,44",LAGUNA
2025-03-02,RIO FORTUNA,"1,42","0,36",LAGUNA
2025-02-23,SANGAO,"0,69","10,44",LAGUNA
2025-03-02,SANGAO,"1,42","0,36",LAGUNA
2025-02-23,SANTA ROSA DE LIMA,"0,69","10,44",LAGUNA
2025-03-02,SANTA ROSA DE LIMA,"1,42","0,36",LAGUNA
2025-02-23,SAO LUDGERO,"0,69","10,44",LAGUNA
2025-03-02,SAO LUDGERO,"1,42","0,36",LAGUNA
2025-02-23,SAO MARTINHO,"0,69","0,04",LAGUNA
2025-03-02,SAO MARTINHO,"1,42","0,00",LAGUNA
2025-02-23,TREZE DE MAIO,"0,69","10,44",LAGUNA
2025-03-02,TREZE DE MAIO,"1,42","0,36",LAGUNA
2025-02-23,TUBARAO,"0,69","0,04",LAGUNA
2025-03-02,TUBARAO,"1,42","0,00",LAGUNA
2025-02-23,APIUNA,"3,54","25,22",MEDIO VALE DO ITAJAI
2025-03-02,APIUNA,"1,17","0,14",MEDIO VALE DO ITAJAI
2025-02-23,ASCURRA,"3,27","2,53",MEDIO VALE DO ITAJAI
2025-03-02,ASCURRA,"2,38","0,22",MEDIO VALE DO ITAJAI
2025-02-23,BENEDITO NOVO,"3,27","2,53",MEDIO VALE DO ITAJAI
2025-03-02,BENEDITO NOVO,"2,38","0,22",MEDIO VALE DO ITAJAI
2025-02-23,BLUMENAU,"2,22","6,25",MEDIO VALE DO ITAJAI
2025-03-02,BLUMENAU,"2,42","5,33",MEDIO VALE DO ITAJAI
2025-02-23,BOTUVERA,"1,98","25,22",MEDIO VALE DO ITAJAI
2025-03-02,BOTUVERA,"1,34","0,14",MEDIO VALE DO ITAJAI
2025-02-23,BRUSQUE,"1,98","3,09",MEDIO VALE DO ITAJAI
2025-03-02,BRUSQUE,"1,34","2,65",MEDIO VALE DO ITAJAI
2025-02-23,DOUTOR PEDRINHO,"3,27","2,53",MEDIO VALE DO ITAJAI
2025-03-02,DOUTOR PEDRINHO,"2,38","0,22",MEDIO VALE DO ITAJAI
2025-02-23,GASPAR,"2,22","6,25",MEDIO VALE DO ITAJAI
2025-03-02,GASPAR,"2,42","5,33",MEDIO VALE DO ITAJAI
2025-02-23,GUABIRUBA,"1,98","3,09",MEDIO VALE DO ITAJAI
2025-03-02,GUABIRUBA,"1,34","2,65",MEDIO VALE DO ITAJAI
2025-02-23,INDAIAL,"2,22","2,53",MEDIO VALE DO ITAJAI
2025-03-02,INDAIAL,"2,42","0,22",MEDIO VALE DO ITAJAI
2025-02-23,POMERODE,"2,22","2,53",MEDIO VALE DO ITAJAI
2025-03-02,POMERODE,"2,42","0,22",MEDIO VALE DO ITAJAI
2025-02-23,RIO DOS CEDROS,"3,27","2,53",MEDIO VALE DO ITAJAI
2025-03-02,RIO DOS CEDROS,"2,38","0,22",MEDIO VALE DO ITAJAI
2025-02-23,RODEIO,"2,22","2,53",MEDIO VALE DO ITAJAI
2025-03-02,RODEIO,"2,42","0,22",MEDIO VALE DO ITAJAI
2025-02-23,TIMBO,"2,22","2,53",MEDIO VALE DO ITAJAI
2025-03-02,TIMBO,"2,42","0,22",MEDIO VALE DO ITAJAI
2025-02-23,ABDON BATISTA,"4,13","19,67",MEIO OESTE
2025-03-02,ABDON BATISTA,"0,94","0,04",MEIO OESTE
2025-02-23,AGUA DOCE,"4,03","5,96",MEIO OESTE
2025-03-02,AGUA DOCE,"3,03","3,9",MEIO OESTE
2025-02-23,BRUNOPOLIS,"4,13","6,55",MEIO OESTE
2025-03-02,BRUNOPOLIS,"0,94","0,04",MEIO OESTE
2025-02-23,CAMPOS NOVOS,"4,13","1,17",MEIO OESTE
2025-03-02,CAMPOS NOVOS,"0,94","6,80",MEIO OESTE
2025-02-23,CAPINZAL,"1,80","1,17",MEIO OESTE
2025-03-02,CAPINZAL,"1,45","6,80",MEIO OESTE
2025-02-23,CATANDUVAS,"1,80","1,17",MEIO OESTE
2025-03-02,CATANDUVAS,"1,45","6,80",MEIO OESTE
2025-02-23,CELSO RAMOS,"4,13","1,17",MEIO OESTE
2025-03-02,CELSO RAMOS,"0,94","6,80",MEIO OESTE
2025-02-23,ERVAL VELHO,"1,80","1,17",MEIO OESTE
2025-03-02,ERVAL VELHO,"1,45","6,80",MEIO OESTE
2025-02-23,HERVAL DOESTE,"1,80","1,17",MEIO OESTE
2025-03-02,HERVAL DOESTE,"1,45","6,80",MEIO OESTE
2025-02-23,IBICARE,"1,80","1,17",MEIO OESTE
2025-03-02,IBICARE,"1,45","6,80",MEIO OESTE
2025-02-23,JABORA,"1,80","1,17",MEIO OESTE
2025-03-02,JABORA,"1,45","6,80",MEIO OESTE
2025-02-23,JOAÇABA,"1,80","1,17",MEIO OESTE
2025-03-02,JOAÇABA,"1,45","6,80",MEIO OESTE
2025-02-23,LACERDOPOLIS,"1,80","1,17",MEIO OESTE
2025-03-02,LACERDOPOLIS,"1,45","6,80",MEIO OESTE
2025-02-23,LUZERNA,"1,80","1,17",MEIO OESTE
2025-03-02,LUZERNA,"1,45","6,80",MEIO OESTE
2025-02-23,MONTE CARLO,"4,13","6,55",MEIO OESTE
2025-03-02,MONTE CARLO,"0,94","0,04",MEIO OESTE
2025-02-23,OURO,"1,80","1,17",MEIO OESTE
2025-03-02,OURO,"1,45","6,80",MEIO OESTE
2025-02-23,TREZE TILIAS,"4,03","5,96",MEIO OESTE
2025-03-02,TREZE TILIAS,"3,03","3,9",MEIO OESTE
2025-02-23,VARGEM,"4,13","6,55",MEIO OESTE
2025-03-02,VARGEM,"0,94","0,04",MEIO OESTE
2025-02-23,VARGEM BONITA,"4,03","5,96",MEIO OESTE
2025-03-02,VARGEM BONITA,"3,03","3,9",MEIO OESTE
2025-02-23,ZORTEA,"1,80","1,17",MEIO OESTE
2025-03-02,ZORTEA,"1,45","6,80",MEIO OESTE
2025-02-23,ARAQUARI,"2,22","1,04",NORDESTE
2025-03-02,ARAQUARI,"2,42","5,33",NORDESTE
2025-02-23,BALNEARIO BARRA DO SUL,"2,22","1,04",NORDESTE
2025-03-02,BALNEARIO BARRA DO SUL,"2,42","5,33",NORDESTE
2025-02-23,GARUVA,"2,22","1,04",NORDESTE
2025-03-02,GARUVA,"2,42","5,33",NORDESTE
2025-02-23,ITAPOA,"2,22","1,04",NORDESTE
2025-03-02,ITAPOA,"2,42","5,33",NORDESTE
2025-02-23,JOINVILLE,"2,22","1,04",NORDESTE
2025-03-02,JOINVILLE,"2,42","5,33",NORDESTE
2025-02-23,SAO FRANCISCO DO SUL,"2,22","1,04",NORDESTE
2025-03-02,SAO FRANCISCO DO SUL,"2,42","5,33",NORDESTE
2025-02-23,AGUAS DE CHAPECO,"1,68","5,47",OESTE
2025-03-02,AGUAS DE CHAPECO,"1,40","0,60",OESTE
2025-02-23,AGUAS FRIAS,"4,41","4,20",OESTE
2025-03-02,AGUAS FRIAS,"3,43","1,52",OESTE
2025-02-23,ARVOREDO,"1,68","5,47",OESTE
2025-03-02,ARVOREDO,"1,40","0,60",OESTE
2025-02-23,CAIBI,"1,68","12,87",OESTE
2025-03-02,CAIBI,"1,40","1,16",OESTE
2025-02-23,CAXAMBU DO SUL,"1,68","5,47",OESTE
2025-03-02,CAXAMBU DO SUL,"1,40","0,60",OESTE
2025-02-23,CHAPECO,"1,68","5,47",OESTE
2025-03-02,CHAPECO,"1,40","0,60",OESTE
2025-02-23,CORDILHEIRA ALTA,"4,41","4,20",OESTE
2025-03-02,CORDILHEIRA ALTA,"3,43","1,52",OESTE
2025-02-23,CORONEL FREITAS,"4,41","4,20",OESTE
2025-03-02,CORONEL FREITAS,"3,43","1,52",OESTE
2025-02-23,CUNHA PORA,"4,41","2,57",OESTE
2025-03-02,CUNHA PORA,"3,43","1,53",OESTE
2025-02-23,CUNHATAI,"4,41","4,20",OESTE
2025-03-02,CUNHATAI,"3,43","1,52",OESTE
2025-02-23,FORMOSA DO SUL,"4,41","4,20",OESTE
2025-03-02,FORMOSA DO SUL,"3,43","1,52",OESTE
2025-02-23,GUATAMBU,"1,68","5,47",OESTE
2025-03-02,GUATAMBU,"1,40","0,60",OESTE
2025-02-23,IRATI,"4,41","4,20",OESTE
2025-03-02,IRATI,"3,43","1,52",OESTE
2025-02-23,JARDINOPOLIS,"4,41","4,20",OESTE
2025-03-02,JARDINOPOLIS,"3,43","1,52",OESTE
2025-02-23,NOVA ERECHIM,"4,41","4,20",OESTE
2025-03-02,NOVA ERECHIM,"3,43","1,52",OESTE
2025-02-23,NOVA ITABERABA,"4,41","4,20",OESTE
2025-03-02,NOVA ITABERABA,"3,43","1,52",OESTE
2025-02-23,PAIAL,"1,68","5,47",OESTE
2025-03-02,PAIAL,"1,40","0,60",OESTE
2025-02-23,PALMITOS,"1,68","12,87",OESTE
2025-03-02,PALMITOS,"1,40","1,16",OESTE
2025-02-23,PINHALZINHO,"4,41","4,20",OESTE
2025-03-02,PINHALZINHO,"3,43","1,52",OESTE
2025-02-23,PLANALTO ALEGRE,"1,68","5,47",OESTE
2025-03-02,PLANALTO ALEGRE,"1,40","0,60",OESTE
2025-02-23,QUILOMBO,"4,41","4,20",OESTE
2025-03-02,QUILOMBO,"3,43","1,52",OESTE
2025-02-23,RIQUEZA,"4,41","2,57",OESTE
2025-03-02,RIQUEZA,"3,43","1,53",OESTE
2025-02-23,SANTIAGO DO SUL,"4,41","4,20",OESTE
2025-03-02,SANTIAGO DO SUL,"3,43","1,52",OESTE
2025-02-23,SAO CARLOS,"1,68","5,47",OESTE
2025-03-02,SAO CARLOS,"1,40","0,60",OESTE
2025-02-23,SERRA ALTA,"4,41","4,20",OESTE
2025-03-02,SERRA ALTA,"3,43","1,52",OESTE
2025-02-23,SUL BRASIL,"4,41","4,20",OESTE
2025-03-02,SUL BRASIL,"3,43","1,52",OESTE
2025-02-23,UNIAO DO OESTE,"4,41","4,20",OESTE
2025-03-02,UNIAO DO OESTE,"3,43","1,52",OESTE
2025-02-23,BELA VISTA DO TOLDO,"3,67","4,49",PLANALTO NORTE
2025-03-02,BELA VISTA DO TOLDO,"1,90","0,32",PLANALTO NORTE
2025-02-23,CAMPO ALEGRE,"2,22","5,64",PLANALTO NORTE
2025-03-02,CAMPO ALEGRE,"2,42","0,22",PLANALTO NORTE
2025-02-23,CANOINHAS,"3,67","4,49",PLANALTO NORTE
2025-03-02,CANOINHAS,"1,90","0,32",PLANALTO NORTE
2025-02-23,IRINEOPOLIS,"3,67","4,49",PLANALTO NORTE
2025-03-02,IRINEOPOLIS,"1,90","0,32",PLANALTO NORTE
2025-02-23,ITAIOPOLIS,"3,27","5,64",PLANALTO NORTE
2025-03-02,ITAIOPOLIS,"2,38","0,22",PLANALTO NORTE
2025-02-23,MAFRA,"3,27","5,64",PLANALTO NORTE
2025-03-02,MAFRA,"2,38","0,22",PLANALTO NORTE
2025-02-23,MAJOR VIEIRA,"3,67","4,49",PLANALTO NORTE
2025-03-02,MAJOR VIEIRA,"1,90","0,32",PLANALTO NORTE
2025-02-23,MONTE CASTELO,"3,27","4,49",PLANALTO NORTE
2025-03-02,MONTE CASTELO,"2,38","0,32",PLANALTO NORTE
2025-02-23,PAPANDUVA,"3,27","4,49",PLANALTO NORTE
2025-03-02,PAPANDUVA,"2,38","0,32",PLANALTO NORTE
2025-02-23,PORTO UNIAO,"3,67","4,49",PLANALTO NORTE
2025-03-02,PORTO UNIAO,"1,90","0,32",PLANALTO NORTE
2025-02-23,RIO NEGRINHO,"3,27","5,64",PLANALTO NORTE
2025-03-02,RIO NEGRINHO,"2,38","0,22",PLANALTO NORTE
2025-02-23,SAO BENTO DO SUL,"2,22","5,64",PLANALTO NORTE
2025-03-02,SAO BENTO DO SUL,"2,42","0,22",PLANALTO NORTE
2025-02-23,TRÊS BARRAS,"3,27","4,49",PLANALTO NORTE
2025-03-02,TRÊS BARRAS,"2,38","0,32",PLANALTO NORTE
,,,,
2025-02-23,ANITA GARIBALDI,"4,13","19,67",SERRA CATARINENSE
2025-03-02,ANITA GARIBALDI,"0,94","0,04",SERRA CATARINENSE
2025-02-23,BOCAINA DO SUL,"3,54","12,61",SERRA CATARINENSE
2025-03-02,BOCAINA DO SUL,"1,17","0,14",SERRA CATARINENSE
2025-02-23,BOM JARDIM DA SERRA,"2,06","20,89",SERRA CATARINENSE
2025-03-02,BOM JARDIM DA SERRA,"1,10","0,36",SERRA CATARINENSE
2025-02-23,BOM RETIRO,"3,54","12,61",SERRA CATARINENSE
2025-03-02,BOM RETIRO,"1,17","0,14",SERRA CATARINENSE
2025-02-23,CAPAO ALTO,"1,18","38,8",SERRA CATARINENSE
2025-03-02,CAPAO ALTO,"0,47","12,09",SERRA CATARINENSE
2025-02-23,CAMPO BELO DO SUL,"4,13","3,27",SERRA CATARINENSE
2025-03-02,CAMPO BELO DO SUL,"0,94","0,04",SERRA CATARINENSE
2025-02-23,CERRO NEGRO,"4,13","3,27",SERRA CATARINENSE
2025-03-02,CERRO NEGRO,"0,94","0,04",SERRA CATARINENSE
2025-02-23,CORREIA PINTO,"4,13","3,27",SERRA CATARINENSE
2025-03-02,CORREIA PINTO,"0,94","0,04",SERRA CATARINENSE
2025-02-23,LAGES,"2,06","38,8",SERRA CATARINENSE
2025-03-02,LAGES,"1,10","12,09",SERRA CATARINENSE
2025-02-23,OTACILIO COSTA,"3,54","12,61",SERRA CATARINENSE
2025-03-02,OTACILIO COSTA,"1,17","0,14",SERRA CATARINENSE
2025-02-23,PAINEL,"3,54","12,61",SERRA CATARINENSE
2025-03-02,PAINEL,"1,17","0,14",SERRA CATARINENSE
2025-02-23,PALMEIRA,"3,54","3,27",SERRA CATARINENSE
2025-03-02,PALMEIRA,"1,17","0,04",SERRA CATARINENSE
2025-02-23,PONTE ALTA,"3,54","3,27",SERRA CATARINENSE
2025-03-02,PONTE ALTA,"1,17","0,04",SERRA CATARINENSE
2025-02-23,RIO RUFINO,"3,54","12,61",SERRA CATARINENSE
2025-03-02,RIO RUFINO,"1,17","0,14",SERRA CATARINENSE
2025-02-23,SAO JOAQUIM,"2,06","20,89",SERRA CATARINENSE
2025-03-02,SAO JOAQUIM,"1,10","0,36",SERRA CATARINENSE
2025-02-23,SAO JOSE DO CERRITO,"4,13","3,27",SERRA CATARINENSE
2025-03-02,SAO JOSE DO CERRITO,"0,94","0,04",SERRA CATARINENSE
2025-02-23,URUBICI,"2,06","20,89",SERRA CATARINENSE
2025-03-02,URUBICI,"1,10","0,36",SERRA CATARINENSE
2025-02-23,URUPEMA,"2,06","20,89",SERRA CATARINENSE
2025-03-02,URUPEMA,"1,10","0,36",SERRA CATARINENSE
2025-02-23,BARRA VELHA,"2,22","1,25",VALE DO ITAPOCU
2025-03-02,BARRA VELHA,"2,42","5,33",VALE DO ITAPOCU
2025-02-23,CORUPA,"2,22","14,12",VALE DO ITAPOCU
2025-03-02,CORUPA,"2,42","0,22",VALE DO ITAPOCU
2025-02-23,GUARAMIRIM,"2,22","1,25",VALE DO ITAPOCU
2025-03-02,GUARAMIRIM,"2,42","5,33",VALE DO ITAPOCU
2025-02-23,JARAGUA DO SUL,"2,22","14,12",VALE DO ITAPOCU
2025-03-02,JARAGUA DO SUL,"2,42","0,22",VALE DO ITAPOCU
2025-02-23,MASSARANDUBA,"2,22","1,25",VALE DO ITAPOCU
2025-03-02,MASSARANDUBA,"2,42","5,33",VALE DO ITAPOCU
2025-02-23,SAO JOAO DO ITAPERIÚ,"2,22","1,25",VALE DO ITAPOCU
2025-03-02,SAO JOAO DO ITAPERIÚ,"2,42","5,33",VALE DO ITAPOCU
2025-02-23,SCHROEDER,"2,22","1,25",VALE DO ITAPOCU
2025-03-02,SCHROEDER,"2,42","5,33",VALE DO ITAPOCU
2025-02-23,ABELARDO LUZ,"4,03","0,46",XANXERE
2025-03-02,ABELARDO LUZ,"3,03","1,52",XANXERE
2025-02-23,BOM JESUS,"4,41","0,46",XANXERE
2025-03-02,BOM JESUS,"3,43","1,52",XANXERE
2025-02-23,CAMPO ERE,"4,41","2,57",XANXERE
2025-03-02,CAMPO ERE,"3,43","1,53",XANXERE
2025-02-23,CORONEL MARTINS,"4,41","0,46",XANXERE
2025-03-02,CORONEL MARTINS,"3,43","1,52",XANXERE
2025-02-23,ENTRE RIOS,"4,41","0,46",XANXERE
2025-03-02,ENTRE RIOS,"3,43","1,52",XANXERE
2025-02-23,FAXINAL DOS GUEDES,"4,03","0,46",XANXERE
2025-03-02,FAXINAL DOS GUEDES,"3,03","1,52",XANXERE
2025-02-23,GALVAO,"4,41","0,46",XANXERE
2025-03-02,GALVAO,"3,43","1,52",XANXERE
2025-02-23,IPUAÇU,"4,41","0,46",XANXERE
2025-03-02,IPUAÇU,"3,43","1,52",XANXERE
2025-02-23,JUPIA,"4,41","0,46",XANXERE
2025-03-02,JUPIA,"3,43","1,52",XANXERE
2025-02-23,LAJEADO GRANDE,"4,41","0,46",XANXERE
2025-03-02,LAJEADO GRANDE,"3,43","1,52",XANXERE
2025-02-23,MAREMA,"4,41","0,46",XANXERE
2025-03-02,MAREMA,"3,43","1,52",XANXERE
2025-02-23,NOVO HORIZONTE,"4,41","0,46",XANXERE
2025-03-02,NOVO HORIZONTE,"3,43","1,52",XANXERE
2025-02-23,OURO VERDE,"4,03","0,46",XANXERE
2025-03-02,OURO VERDE,"3,03","1,52",XANXERE
2025-02-23,PASSOS MAIA,"4,03","8,94",XANXERE
2025-03-02,PASSOS MAIA,"3,03","5,85",XANXERE
2025-02-23,PONTE SERRADA,"4,03","8,94",XANXERE
2025-03-02,PONTE SERRADA,"3,03","5,85",XANXERE
2025-02-23,SAO BERNARDINO,"4,41","0,46",XANXERE
2025-03-02,SAO BERNARDINO,"3,43","1,52",XANXERE
2025-02-23,SAO DOMINGOS,"4,41","0,46",XANXERE
2025-03-02,SAO DOMINGOS,"3,43","1,52",XANXERE
2025-02-23,SAO LOURENÇO DO OESTE,"4,41","0,46",XANXERE
2025-03-02,SAO LOURENÇO DO OESTE,"3,43","1,52",XANXERE
2025-02-23,VARGEAO,"4,03","0,46",XANXERE
2025-03-02,VARGEAO,"3,03","1,52",XANXERE
2025-02-23,XANXERE,"4,41","0,46",XANXERE
2025-03-02,XANXERE,"3,43","1,52",XANXERE
2025-02-23,XAXIM,"4,41","0,46",XANXERE
2025-03-02,XAXIM,"3,43","1,52",XANXERE